ID,Composition,Space group number,a,b,c,alpha,beta,gamma,Ionic conductivity (S cm-1),DOI,CIF,Synthesis Method
824,Li20.7Ge2.7P3.3S24.0,137,8.71302,8.71302,12.6397,90.0,90.0,90.0,0.0144,10.1039/c4ta05231e,Match,"**Method Name:** Solid-State Reaction

**Procedure Summary:**
The Li-Ge-P-S solid solution materials were synthesized through a multi-step solid-state reaction process. First, the precursor powders (P₂S₅, Li₂S, and GeS₂) were precisely weighed according to the desired stoichiometry and thoroughly ground in a vibrating mill for 30 minutes. This mixed powder was then pressed into pellets under high pressure. These pellets were sealed in a silica tube under reduced pressure and subjected to an initial heat treatment. After cooling, the resulting products were reground and remixed, then repelletized under the same high pressure. A second heat treatment was performed on these pellets. Finally, for ionic conductivity measurements, samples were pelletized again under slightly lower pressure and subjected to a third, higher temperature sintering step.

**Key Conditions:**
*   **Precursors:** P₂S₅ (99% purity), Li₂S (>99.9% purity), GeS₂ (>99.99% purity).
*   **Initial Grinding:** Vibrating mill for 30 minutes.
*   **First Pelletization:** 220 MPa.
*   **First Heat Treatment:**
    *   Atmosphere: Sealed in a silica tube at 30 Pa (vacuum).
    *   Temperature: 673 K.
    *   Dwell Time: 8 hours.
    *   Heating Rate: 2.2 K min⁻¹.
    *   Cooling Rate: 0.60 K min⁻¹.
*   **Second Pelletization:** 220 MPa.
*   **Second Heat Treatment:**
    *   Atmosphere: Sealed in a silica tube (implied vacuum/inert atmosphere).
    *   Temperature: 823 K.
    *   Dwell Time: 8 hours.
    *   Heating Rate: 3.0 K min⁻¹.
    *   Cooling Rate: 0.76 K min⁻¹.
*   **Final Sintering (for conductivity samples):**
    *   Pelletization Pressure: 165 MPa.
    *   Atmosphere: Sealed in a silica tube (implied vacuum/inert atmosphere).
    *   Temperature: 873 K.
    *   Dwell Time: 8 hours.
    *   Heating Rate: 3.3 K min⁻¹.
    *   Cooling Rate: 0.83 K min⁻¹."
mqo,Li20.7Si2.7P3.3S24.0,137,8.66958,8.66958,12.5361,90.0,90.0,90.0,0.00673,10.1039/c4fd00143e,No Match,"**Method Name:**
Conventional Solid-State Reaction

**Procedure Summary:**
The synthesis began with weighing high-purity starting materials: Li₂S, P₂S₅, and either SiS₂ (for silicon-containing materials) or SnS₂ (for tin-containing materials). These precursors were weighed in appropriate molar ratios inside an argon-filled glove box to prevent degradation. The weighed materials were then thoroughly mixed using a planetary ball-mill for 40 hours. Following mixing, the powdered specimens were pressed into pellets. These pellets were subsequently sealed in a carbon-coated quartz tube under vacuum, specifically at a pressure of 10 Pa. The sealed tubes were then heated in a furnace at a reaction temperature of 823 K for a duration of 3 days. After the heating period, the tubes were allowed to cool slowly to room temperature.

**Key Conditions:**
*   **Precursor Handling Atmosphere:** Ar-filled glove box
*   **Mixing Method:** Planetary ball-milling
*   **Mixing Duration:** 40 hours
*   **Reaction Vessel:** Carbon-coated quartz tube
*   **Reaction Atmosphere/Pressure:** Sealed under vacuum at 10 Pa
*   **Reaction Temperature:** 823 K
*   **Reaction Dwell Time:** 3 days
*   **Cooling:** Slow cooling to room temperature"
izs,Li20.85Si2.85P3.15S24.0,137,8.672,8.672,12.536,90.0,90.0,90.0,0.00527,10.1039/c4fd00143e,No Match,"**Method Name:**
Conventional Solid-State Reaction

**Procedure Summary:**
The synthesis began with weighing high-purity starting materials: Li₂S, P₂S₅, and either SiS₂ (for silicon-containing materials) or SnS₂ (for tin-containing materials). These precursors were weighed in appropriate molar ratios inside an argon-filled glove box to prevent degradation. The weighed materials were then thoroughly mixed using a planetary ball-mill for 40 hours. Following mixing, the powdered specimens were pressed into pellets. These pellets were subsequently sealed in a carbon-coated quartz tube under vacuum, specifically at a pressure of 10 Pa. The sealed tubes were then heated in a furnace at a reaction temperature of 823 K for a duration of 3 days. After the heating period, the tubes were allowed to cool slowly to room temperature.

**Key Conditions:**
*   **Precursor Handling Atmosphere:** Ar-filled glove box
*   **Mixing Method:** Planetary ball-milling
*   **Mixing Duration:** 40 hours
*   **Reaction Vessel:** Carbon-coated quartz tube
*   **Reaction Atmosphere/Pressure:** Sealed under vacuum at 10 Pa
*   **Reaction Temperature:** 823 K
*   **Reaction Dwell Time:** 3 days
*   **Cooling:** Slow cooling to room temperature"
8nc,Li20.55Si2.55P3.45S24.0,137,8.653,8.653,12.51,90.0,90.0,90.0,0.00565,10.1039/c4fd00143e,No Match,"**Method Name:**
Conventional Solid-State Reaction

**Procedure Summary:**
The synthesis began with weighing high-purity starting materials: Li₂S, P₂S₅, and either SiS₂ (for silicon-containing materials) or SnS₂ (for tin-containing materials). These precursors were weighed in appropriate molar ratios inside an argon-filled glove box to prevent degradation. The weighed materials were then thoroughly mixed using a planetary ball-mill for 40 hours. Following mixing, the powdered specimens were pressed into pellets. These pellets were subsequently sealed in a carbon-coated quartz tube under vacuum, specifically at a pressure of 10 Pa. The sealed tubes were then heated in a furnace at a reaction temperature of 823 K for a duration of 3 days. After the heating period, the tubes were allowed to cool slowly to room temperature.

**Key Conditions:**
*   **Precursor Handling Atmosphere:** Ar-filled glove box
*   **Mixing Method:** Planetary ball-milling
*   **Mixing Duration:** 40 hours
*   **Reaction Vessel:** Carbon-coated quartz tube
*   **Reaction Atmosphere/Pressure:** Sealed under vacuum at 10 Pa
*   **Reaction Temperature:** 823 K
*   **Reaction Dwell Time:** 3 days
*   **Cooling:** Slow cooling to room temperature"
3sx,Li20.4Si2.4P3.6S24.0,137,8.644,8.644,12.504,90.0,90.0,90.0,0.00421,10.1039/c4fd00143e,No Match,"**Method Name:**
Conventional Solid-State Reaction

**Procedure Summary:**
The synthesis began with weighing high-purity starting materials: Li₂S, P₂S₅, and either SiS₂ (for silicon-containing materials) or SnS₂ (for tin-containing materials). These precursors were weighed in appropriate molar ratios inside an argon-filled glove box to prevent degradation. The weighed materials were then thoroughly mixed using a planetary ball-mill for 40 hours. Following mixing, the powdered specimens were pressed into pellets. These pellets were subsequently sealed in a carbon-coated quartz tube under vacuum, specifically at a pressure of 10 Pa. The sealed tubes were then heated in a furnace at a reaction temperature of 823 K for a duration of 3 days. After the heating period, the tubes were allowed to cool slowly to room temperature.

**Key Conditions:**
*   **Precursor Handling Atmosphere:** Ar-filled glove box
*   **Mixing Method:** Planetary ball-milling
*   **Mixing Duration:** 40 hours
*   **Reaction Vessel:** Carbon-coated quartz tube
*   **Reaction Atmosphere/Pressure:** Sealed under vacuum at 10 Pa
*   **Reaction Temperature:** 823 K
*   **Reaction Dwell Time:** 3 days
*   **Cooling:** Slow cooling to room temperature"
xga,Li20.01Sn1.98P4.02S24.0,137,8.743,8.743,12.782,90.0,90.0,90.0,0.00373,10.1039/c4fd00143e,No Match,"**Method Name:**
Conventional Solid-State Reaction

**Procedure Summary:**
The synthesis began with weighing high-purity starting materials: Li₂S, P₂S₅, and either SiS₂ (for silicon-containing materials) or SnS₂ (for tin-containing materials). These precursors were weighed in appropriate molar ratios inside an argon-filled glove box to prevent degradation. The weighed materials were then thoroughly mixed using a planetary ball-mill for 40 hours. Following mixing, the powdered specimens were pressed into pellets. These pellets were subsequently sealed in a carbon-coated quartz tube under vacuum, specifically at a pressure of 10 Pa. The sealed tubes were then heated in a furnace at a reaction temperature of 823 K for a duration of 3 days. After the heating period, the tubes were allowed to cool slowly to room temperature.

**Key Conditions:**
*   **Precursor Handling Atmosphere:** Ar-filled glove box
*   **Mixing Method:** Planetary ball-milling
*   **Mixing Duration:** 40 hours
*   **Reaction Vessel:** Carbon-coated quartz tube
*   **Reaction Atmosphere/Pressure:** Sealed under vacuum at 10 Pa
*   **Reaction Temperature:** 823 K
*   **Reaction Dwell Time:** 3 days
*   **Cooling:** Slow cooling to room temperature"
xn9,Li19.8Sn1.8P4.2S24.0,137,8.731,8.731,12.768,90.0,90.0,90.0,0.00365,10.1039/c4fd00143e,No Match,"**Method Name:**
Conventional Solid-State Reaction

**Procedure Summary:**
The synthesis began with weighing high-purity starting materials: Li₂S, P₂S₅, and either SiS₂ (for silicon-containing materials) or SnS₂ (for tin-containing materials). These precursors were weighed in appropriate molar ratios inside an argon-filled glove box to prevent degradation. The weighed materials were then thoroughly mixed using a planetary ball-mill for 40 hours. Following mixing, the powdered specimens were pressed into pellets. These pellets were subsequently sealed in a carbon-coated quartz tube under vacuum, specifically at a pressure of 10 Pa. The sealed tubes were then heated in a furnace at a reaction temperature of 823 K for a duration of 3 days. After the heating period, the tubes were allowed to cool slowly to room temperature.

**Key Conditions:**
*   **Precursor Handling Atmosphere:** Ar-filled glove box
*   **Mixing Method:** Planetary ball-milling
*   **Mixing Duration:** 40 hours
*   **Reaction Vessel:** Carbon-coated quartz tube
*   **Reaction Atmosphere/Pressure:** Sealed under vacuum at 10 Pa
*   **Reaction Temperature:** 823 K
*   **Reaction Dwell Time:** 3 days
*   **Cooling:** Slow cooling to room temperature"
sg4,Li19.71Sn1.68P4.32S24.0,137,8.721,8.721,12.725,90.0,90.0,90.0,0.00436,10.1039/c4fd00143e,No Match,"**Method Name:**
Conventional Solid-State Reaction

**Procedure Summary:**
The synthesis began with weighing high-purity starting materials: Li₂S, P₂S₅, and either SiS₂ (for silicon-containing materials) or SnS₂ (for tin-containing materials). These precursors were weighed in appropriate molar ratios inside an argon-filled glove box to prevent degradation. The weighed materials were then thoroughly mixed using a planetary ball-mill for 40 hours. Following mixing, the powdered specimens were pressed into pellets. These pellets were subsequently sealed in a carbon-coated quartz tube under vacuum, specifically at a pressure of 10 Pa. The sealed tubes were then heated in a furnace at a reaction temperature of 823 K for a duration of 3 days. After the heating period, the tubes were allowed to cool slowly to room temperature.

**Key Conditions:**
*   **Precursor Handling Atmosphere:** Ar-filled glove box
*   **Mixing Method:** Planetary ball-milling
*   **Mixing Duration:** 40 hours
*   **Reaction Vessel:** Carbon-coated quartz tube
*   **Reaction Atmosphere/Pressure:** Sealed under vacuum at 10 Pa
*   **Reaction Temperature:** 823 K
*   **Reaction Dwell Time:** 3 days
*   **Cooling:** Slow cooling to room temperature"
ns3,Li19.62Sn1.62P4.38S24.0,137,8.7405,8.7405,12.715,90.0,90.0,90.0,0.00496,10.1039/c4fd00143e,No Match,"**Method Name:**
Conventional Solid-State Reaction

**Procedure Summary:**
The synthesis began with weighing high-purity starting materials: Li₂S, P₂S₅, and either SiS₂ (for silicon-containing materials) or SnS₂ (for tin-containing materials). These precursors were weighed in appropriate molar ratios inside an argon-filled glove box to prevent degradation. The weighed materials were then thoroughly mixed using a planetary ball-mill for 40 hours. Following mixing, the powdered specimens were pressed into pellets. These pellets were subsequently sealed in a carbon-coated quartz tube under vacuum, specifically at a pressure of 10 Pa. The sealed tubes were then heated in a furnace at a reaction temperature of 823 K for a duration of 3 days. After the heating period, the tubes were allowed to cool slowly to room temperature.

**Key Conditions:**
*   **Precursor Handling Atmosphere:** Ar-filled glove box
*   **Mixing Method:** Planetary ball-milling
*   **Mixing Duration:** 40 hours
*   **Reaction Vessel:** Carbon-coated quartz tube
*   **Reaction Atmosphere/Pressure:** Sealed under vacuum at 10 Pa
*   **Reaction Temperature:** 823 K
*   **Reaction Dwell Time:** 3 days
*   **Cooling:** Slow cooling to room temperature"
g8j,Li19.56Sn1.56P4.44S24.0,137,8.737,8.737,12.713,90.0,90.0,90.0,0.00453,10.1039/c4fd00143e,No Match,"**Method Name:**
Conventional Solid-State Reaction

**Procedure Summary:**
The synthesis began with weighing high-purity starting materials: Li₂S, P₂S₅, and either SiS₂ (for silicon-containing materials) or SnS₂ (for tin-containing materials). These precursors were weighed in appropriate molar ratios inside an argon-filled glove box to prevent degradation. The weighed materials were then thoroughly mixed using a planetary ball-mill for 40 hours. Following mixing, the powdered specimens were pressed into pellets. These pellets were subsequently sealed in a carbon-coated quartz tube under vacuum, specifically at a pressure of 10 Pa. The sealed tubes were then heated in a furnace at a reaction temperature of 823 K for a duration of 3 days. After the heating period, the tubes were allowed to cool slowly to room temperature.

**Key Conditions:**
*   **Precursor Handling Atmosphere:** Ar-filled glove box
*   **Mixing Method:** Planetary ball-milling
*   **Mixing Duration:** 40 hours
*   **Reaction Vessel:** Carbon-coated quartz tube
*   **Reaction Atmosphere/Pressure:** Sealed under vacuum at 10 Pa
*   **Reaction Temperature:** 823 K
*   **Reaction Dwell Time:** 3 days
*   **Cooling:** Slow cooling to room temperature"
